local,ano,taxa_ajustada_mortalidade
Brasil,1996,"5,1"
Brasil,1997,"5,3"
Brasil,1998,"5,6"
Brasil,1999,"5,9"
Brasil,2000,"5,3"
Brasil,2001,"5,5"
Brasil,2002,"5,1"
Brasil,2003,"5,1"
Brasil,2004,"5,1"
Brasil,2005,"5,1"
Brasil,2006,"5,1"
Brasil,2007,"5,0"
Brasil,2008,"5,0"
Brasil,2009,"5,0"
Brasil,2010,"4,9"
Brasil,2011,"4,9"
Brasil,2012,"4,8"
Brasil,2013,"4,8"
Brasil,2014,"4,7"
Brasil,2015,"4,9"
Brasil,2016,"4,9"
Brasil,2017,"5,2"
Brasil,2018,"5,1"
Brasil,2019,"5,1"
Brasil,2020,"5,0"
Brasil,2021,"4,9"
Brasil,2022,
Brasil,1979,"5,3"
Brasil,1980,"5,6"
Brasil,1981,"5,5"
Brasil,1982,"5,1"
Brasil,1983,"5,3"
Brasil,1984,"5,2"
Brasil,1985,"5,6"
Brasil,1986,"5,3"
Brasil,1987,"5,4"
Brasil,1988,"5,3"
Brasil,1989,"5,3"
Brasil,1990,"5,2"
Brasil,1991,"5,3"
Brasil,1992,"5,3"
Brasil,1993,"5,5"
Brasil,1994,"5,3"
Brasil,1995,"5,6"
Ceará,1996,"3,2"
Ceará,1997,"3,7"
Ceará,1998,"3,5"
Ceará,1999,"5,2"
Ceará,2000,"4,9"
Ceará,2001,"5,2"
Ceará,2002,"6,0"
Ceará,2003,"5,1"
Ceará,2004,"4,5"
Ceará,2005,"5,5"
Ceará,2006,"6,2"
Ceará,2007,"6,8"
Ceará,2008,"6,0"
Ceará,2009,"6,2"
Ceará,2010,"5,6"
Ceará,2011,"5,5"
Ceará,2012,"5,7"
Ceará,2013,"5,3"
Ceará,2014,"5,0"
Ceará,2015,"5,5"
Ceará,2016,"5,7"
Ceará,2017,"6,1"
Ceará,2018,"5,8"
Ceará,2019,"5,8"
Ceará,2020,"6,2"
Ceará,2021,"6,2"
Ceará,2022,
Ceará,1979,"3,6"
Ceará,1980,"3,7"
Ceará,1981,"3,7"
Ceará,1982,"3,6"
Ceará,1983,"3,8"
Ceará,1984,"2,6"
Ceará,1985,"2,2"
Ceará,1986,"2,6"
Ceará,1987,"2,8"
Ceará,1988,"3,3"
Ceará,1989,"3,4"
Ceará,1990,"2,5"
Ceará,1991,"4,1"
Ceará,1992,"3,8"
Ceará,1993,"3,4"
Ceará,1994,"3,1"
Ceará,1995,"3,4"
Fortaleza,1996,"6,2"
Fortaleza,1997,"5,4"
Fortaleza,1998,"5,5"
Fortaleza,1999,"5,3"
Fortaleza,2000,"5,0"
Fortaleza,2001,"5,7"
Fortaleza,2002,"6,2"
Fortaleza,2003,"5,8"
Fortaleza,2004,"4,1"
Fortaleza,2005,"5,5"
Fortaleza,2006,"6,5"
Fortaleza,2007,"7,9"
Fortaleza,2008,"4,8"
Fortaleza,2009,"7,0"
Fortaleza,2010,"6,4"
Fortaleza,2011,"5,9"
Fortaleza,2012,"6,4"
Fortaleza,2013,"5,8"
Fortaleza,2014,"4,9"
Fortaleza,2015,"5,6"
Fortaleza,2016,"5,6"
Fortaleza,2017,"5,8"
Fortaleza,2018,"6,9"
Fortaleza,2019,"5,2"
Fortaleza,2020,"6,9"
Fortaleza,2021,"5,9"
Fortaleza,2022,
Fortaleza,1979,"11,7"
Fortaleza,1980,"12,0"
Fortaleza,1981,"11,0"
Fortaleza,1982,"9,5"
Fortaleza,1983,"11,2"
Fortaleza,1984,"7,7"
Fortaleza,1985,"6,9"
Fortaleza,1986,"6,9"
Fortaleza,1987,"7,3"
Fortaleza,1988,"9,1"
Fortaleza,1989,"7,7"
Fortaleza,1990,"5,6"
Fortaleza,1991,"10,1"
Fortaleza,1992,"7,4"
Fortaleza,1993,"8,5"
Fortaleza,1994,"5,6"
Fortaleza,1995,"6,6"
Nordeste,1979,"4,2"
Nordeste,1980,"4,9"
Nordeste,1981,"4,9"
Nordeste,1982,"4,8"
Nordeste,1983,"4,6"
Nordeste,1984,"4,3"
Nordeste,1985,"4,6"
Nordeste,1986,"4,5"
Nordeste,1987,"4,9"
Nordeste,1988,"4,4"
Nordeste,1989,"4,8"
Nordeste,1990,"4,3"
Nordeste,1991,"4,6"
Nordeste,1992,"4,2"
Nordeste,1993,"4,4"
Nordeste,1994,"4,1"
Nordeste,1995,"4,6"
Nordeste,1996,"4,3"
Nordeste,1997,"4,3"
Nordeste,1998,"4,7"
Nordeste,1999,"4,7"
Nordeste,2000,"4,9"
Nordeste,2001,"4,9"
Nordeste,2002,"5,1"
Nordeste,2003,"5,0"
Nordeste,2004,"5,1"
Nordeste,2005,"5,8"
Nordeste,2006,"6,1"
Nordeste,2007,"5,9"
Nordeste,2008,"5,8"
Nordeste,2009,"6,1"
Nordeste,2010,"5,6"
Nordeste,2011,"5,9"
Nordeste,2012,"6,0"
Nordeste,2013,"5,9"
Nordeste,2014,"6,0"
Nordeste,2015,"5,8"
Nordeste,2016,"5,8"
Nordeste,2017,"6,4"
Nordeste,2018,"6,1"
Nordeste,2019,"6,2"
Nordeste,2020,"6,0"
Nordeste,2021,"6,1"
Nordeste,2022,