local,raca_cor,ano,taxa_ajustada_mortalidade
Ceará,Total,1979,"4,1"
Ceará,Total,1980,"3,9"
Ceará,Total,1981,"5,3"
Ceará,Total,1982,"4,8"
Ceará,Total,1983,"5,0"
Ceará,Total,1984,"4,4"
Ceará,Total,1985,"4,6"
Ceará,Total,1986,"4,1"
Ceará,Total,1987,"5,4"
Ceará,Total,1988,"4,9"
Ceará,Total,1989,"6,1"
Ceará,Total,1990,"5,2"
Ceará,Total,1991,"5,2"
Ceará,Total,1992,"4,5"
Ceará,Total,1993,"6,4"
Ceará,Total,1994,"6,1"
Ceará,Total,1995,"4,9"
Ceará,Total,1996,"6,6"
Ceará,Total,1997,"7,7"
Ceará,Total,1998,"8,3"
Ceará,Total,1999,"8,8"
Ceará,Total,2000,"7,8"
Ceará,Total,2001,"7,5"
Ceará,Total,2002,"8,9"
Ceará,Total,2003,"8,7"
Ceará,Total,2004,"9,0"
Ceará,Total,2005,"8,9"
Ceará,Total,2006,"10,6"
Ceará,Total,2007,"10,5"
Ceará,Total,2008,"11,1"
Ceará,Total,2009,"10,1"
Ceará,Total,2010,"11,3"
Ceará,Total,2011,"10,9"
Ceará,Total,2012,"10,6"
Ceará,Total,2013,"11,2"
Ceará,Total,2014,"11,0"
Ceará,Total,2015,"12,7"
Ceará,Total,2016,"12,4"
Ceará,Total,2017,"12,8"
Ceará,Total,2018,"13,2"
Ceará,Total,2019,"13,6"
Ceará,Total,2020,"12,4"
Ceará,Total,2021,"12,7"
Ceará,Total,2022,
Fortaleza,Total,1979,"14,0"
Fortaleza,Total,1980,"13,0"
Fortaleza,Total,1981,"15,1"
Fortaleza,Total,1982,"14,7"
Fortaleza,Total,1983,"14,4"
Fortaleza,Total,1984,"12,3"
Fortaleza,Total,1985,"13,0"
Fortaleza,Total,1986,"10,8"
Fortaleza,Total,1987,"15,5"
Fortaleza,Total,1988,"11,7"
Fortaleza,Total,1989,"16,9"
Fortaleza,Total,1990,"13,6"
Fortaleza,Total,1991,"14,2"
Fortaleza,Total,1992,"12,2"
Fortaleza,Total,1993,"15,9"
Fortaleza,Total,1994,"14,5"
Fortaleza,Total,1995,"13,3"
Fortaleza,Total,1996,"14,2"
Fortaleza,Total,1997,"13,6"
Fortaleza,Total,1998,"14,0"
Fortaleza,Total,1999,"16,2"
Fortaleza,Total,2000,"14,2"
Fortaleza,Total,2001,"12,5"
Fortaleza,Total,2002,"12,8"
Fortaleza,Total,2003,"12,9"
Fortaleza,Total,2004,"13,1"
Fortaleza,Total,2005,"12,9"
Fortaleza,Total,2006,"15,2"
Fortaleza,Total,2007,"13,0"
Fortaleza,Total,2008,"16,1"
Fortaleza,Total,2009,"14,6"
Fortaleza,Total,2010,"16,3"
Fortaleza,Total,2011,"14,8"
Fortaleza,Total,2012,"14,7"
Fortaleza,Total,2013,"15,3"
Fortaleza,Total,2014,"14,2"
Fortaleza,Total,2015,"15,9"
Fortaleza,Total,2016,"15,0"
Fortaleza,Total,2017,"17,1"
Fortaleza,Total,2018,"15,1"
Fortaleza,Total,2019,"15,6"
Fortaleza,Total,2020,"14,9"
Fortaleza,Total,2021,"14,0"
Fortaleza,Total,2022,