local,idade,ano,genero,media_anos_estudo
Brasil,15 anos ou mais,2016,Total,"9,4"
Brasil,15 a 17 anos,2016,Total,9
Brasil,18 a 29 anos,2016,Total,11
Brasil,18 a 24 anos,2016,Total,"11,1"
Brasil,25 anos ou mais,2016,Total,"9,1"
Brasil,25 a 39 anos,2016,Total,"10,9"
Brasil,40 a 59 anos,2016,Total,"8,8"
Brasil,60 anos ou mais,2016,Total,6
Nordeste,15 anos ou mais,2016,Total,"8,2"
Nordeste,15 a 17 anos,2016,Total,"8,6"
Nordeste,18 a 29 anos,2016,Total,"10,3"
Nordeste,18 a 24 anos,2016,Total,"10,4"
Nordeste,25 anos ou mais,2016,Total,"7,7"
Nordeste,25 a 39 anos,2016,Total,"9,7"
Nordeste,40 a 59 anos,2016,Total,"7,3"
Nordeste,60 anos ou mais,2016,Total,"4,3"
Ceará,15 anos ou mais,2016,Total,"8,1"
Ceará,15 a 17 anos,2016,Total,"8,9"
Ceará,18 a 29 anos,2016,Total,"10,6"
Ceará,18 a 24 anos,2016,Total,"10,5"
Ceará,25 anos ou mais,2016,Total,"7,5"
Ceará,25 a 39 anos,2016,Total,"9,7"
Ceará,40 a 59 anos,2016,Total,"6,9"
Ceará,60 anos ou mais,2016,Total,"4,3"
Fortaleza,15 anos ou mais,2016,Total,10
Fortaleza,15 a 17 anos,2016,Total,9
Fortaleza,18 a 29 anos,2016,Total,11
Fortaleza,18 a 24 anos,2016,Total,"11,2"
Fortaleza,25 anos ou mais,2016,Total,"9,9"
Fortaleza,25 a 39 anos,2016,Total,"11,2"
Fortaleza,40 a 59 anos,2016,Total,"9,5"
Fortaleza,60 anos ou mais,2016,Total,"7,8"
Brasil,15 anos ou mais,2016,Masc,"9,1"
Brasil,15 a 17 anos,2016,Masc,"8,7"
Brasil,18 a 29 anos,2016,Masc,"10,6"
Brasil,18 a 24 anos,2016,Masc,"10,8"
Brasil,25 anos ou mais,2016,Masc,"8,9"
Brasil,25 a 39 anos,2016,Masc,"10,5"
Brasil,40 a 59 anos,2016,Masc,"8,5"
Brasil,60 anos ou mais,2016,Masc,"6,1"
Nordeste,15 anos ou mais,2016,Masc,"7,7"
Nordeste,15 a 17 anos,2016,Masc,"8,2"
Nordeste,18 a 29 anos,2016,Masc,"9,9"
Nordeste,18 a 24 anos,2016,Masc,"9,9"
Nordeste,25 anos ou mais,2016,Masc,"7,3"
Nordeste,25 a 39 anos,2016,Masc,"9,1"
Nordeste,40 a 59 anos,2016,Masc,"6,7"
Nordeste,60 anos ou mais,2016,Masc,"4,1"
Ceará,15 anos ou mais,2016,Masc,"7,7"
Ceará,15 a 17 anos,2016,Masc,"8,5"
Ceará,18 a 29 anos,2016,Masc,"10,2"
Ceará,18 a 24 anos,2016,Masc,"10,1"
Ceará,25 anos ou mais,2016,Masc,7
Ceará,25 a 39 anos,2016,Masc,"9,2"
Ceará,40 a 59 anos,2016,Masc,"6,2"
Ceará,60 anos ou mais,2016,Masc,"3,7"
Fortaleza,15 anos ou mais,2016,Masc,"9,8"
Fortaleza,15 a 17 anos,2016,Masc,"8,8"
Fortaleza,18 a 29 anos,2016,Masc,"10,8"
Fortaleza,18 a 24 anos,2016,Masc,11
Fortaleza,25 anos ou mais,2016,Masc,"9,7"
Fortaleza,25 a 39 anos,2016,Masc,"10,8"
Fortaleza,40 a 59 anos,2016,Masc,"9,3"
Fortaleza,60 anos ou mais,2016,Masc,"7,6"
Brasil,15 anos ou mais,2016,Fem,"9,5"
Brasil,15 a 17 anos,2016,Fem,"9,3"
Brasil,18 a 29 anos,2016,Fem,"11,4"
Brasil,18 a 24 anos,2016,Fem,"11,5"
Brasil,25 anos ou mais,2016,Fem,"9,2"
Brasil,25 a 39 anos,2016,Fem,"11,3"
Brasil,40 a 59 anos,2016,Fem,"9,1"
Brasil,60 anos ou mais,2016,Fem,"5,9"
Nordeste,15 anos ou mais,2016,Fem,"8,6"
Nordeste,15 a 17 anos,2016,Fem,9
Nordeste,18 a 29 anos,2016,Fem,"10,8"
Nordeste,18 a 24 anos,2016,Fem,"10,9"
Nordeste,25 anos ou mais,2016,Fem,"8,1"
Nordeste,25 a 39 anos,2016,Fem,"10,3"
Nordeste,40 a 59 anos,2016,Fem,"7,8"
Nordeste,60 anos ou mais,2016,Fem,"4,5"
Ceará,15 anos ou mais,2016,Fem,"8,6"
Ceará,15 a 17 anos,2016,Fem,"9,2"
Ceará,18 a 29 anos,2016,Fem,"11,1"
Ceará,18 a 24 anos,2016,Fem,11
Ceará,25 anos ou mais,2016,Fem,8
Ceará,25 a 39 anos,2016,Fem,"10,2"
Ceará,40 a 59 anos,2016,Fem,"7,6"
Ceará,60 anos ou mais,2016,Fem,"4,7"
Fortaleza,15 anos ou mais,2016,Fem,"10,2"
Fortaleza,15 a 17 anos,2016,Fem,"9,2"
Fortaleza,18 a 29 anos,2016,Fem,"11,3"
Fortaleza,18 a 24 anos,2016,Fem,"11,4"
Fortaleza,25 anos ou mais,2016,Fem,"10,1"
Fortaleza,25 a 39 anos,2016,Fem,"11,5"
Fortaleza,40 a 59 anos,2016,Fem,"9,8"
Fortaleza,60 anos ou mais,2016,Fem,"7,9"
Brasil,15 anos ou mais,2017,Total,"9,5"
Brasil,15 a 17 anos,2017,Total,"9,1"
Brasil,18 a 29 anos,2017,Total,"11,1"
Brasil,18 a 24 anos,2017,Total,"11,3"
Brasil,25 anos ou mais,2017,Total,"9,3"
Brasil,25 a 39 anos,2017,Total,"11,1"
Brasil,40 a 59 anos,2017,Total,9
Brasil,60 anos ou mais,2017,Total,"6,3"
Nordeste,15 anos ou mais,2017,Total,"8,3"
Nordeste,15 a 17 anos,2017,Total,"8,7"
Nordeste,18 a 29 anos,2017,Total,"10,5"
Nordeste,18 a 24 anos,2017,Total,"10,5"
Nordeste,25 anos ou mais,2017,Total,"7,9"
Nordeste,25 a 39 anos,2017,Total,"9,9"
Nordeste,40 a 59 anos,2017,Total,"7,4"
Nordeste,60 anos ou mais,2017,Total,"4,5"
Ceará,15 anos ou mais,2017,Total,"8,5"
Ceará,15 a 17 anos,2017,Total,"9,1"
Ceará,18 a 29 anos,2017,Total,"10,8"
Ceará,18 a 24 anos,2017,Total,"10,8"
Ceará,25 anos ou mais,2017,Total,"7,9"
Ceará,25 a 39 anos,2017,Total,"10,2"
Ceará,40 a 59 anos,2017,Total,"7,2"
Ceará,60 anos ou mais,2017,Total,"4,6"
Fortaleza,15 anos ou mais,2017,Total,"10,3"
Fortaleza,15 a 17 anos,2017,Total,"9,1"
Fortaleza,18 a 29 anos,2017,Total,"11,2"
Fortaleza,18 a 24 anos,2017,Total,"11,5"
Fortaleza,25 anos ou mais,2017,Total,"10,2"
Fortaleza,25 a 39 anos,2017,Total,"11,5"
Fortaleza,40 a 59 anos,2017,Total,"9,6"
Fortaleza,60 anos ou mais,2017,Total,"8,1"
Brasil,15 anos ou mais,2017,Masc,"9,3"
Brasil,15 a 17 anos,2017,Masc,"8,8"
Brasil,18 a 29 anos,2017,Masc,"10,8"
Brasil,18 a 24 anos,2017,Masc,"10,9"
Brasil,25 anos ou mais,2017,Masc,"9,1"
Brasil,25 a 39 anos,2017,Masc,"10,7"
Brasil,40 a 59 anos,2017,Masc,"8,7"
Brasil,60 anos ou mais,2017,Masc,"6,4"
Nordeste,15 anos ou mais,2017,Masc,"7,9"
Nordeste,15 a 17 anos,2017,Masc,"8,3"
Nordeste,18 a 29 anos,2017,Masc,10
Nordeste,18 a 24 anos,2017,Masc,10
Nordeste,25 anos ou mais,2017,Masc,"7,4"
Nordeste,25 a 39 anos,2017,Masc,"9,4"
Nordeste,40 a 59 anos,2017,Masc,"6,8"
Nordeste,60 anos ou mais,2017,Masc,"4,3"
Ceará,15 anos ou mais,2017,Masc,"8,1"
Ceará,15 a 17 anos,2017,Masc,"8,7"
Ceará,18 a 29 anos,2017,Masc,"10,5"
Ceará,18 a 24 anos,2017,Masc,"10,4"
Ceará,25 anos ou mais,2017,Masc,"7,4"
Ceará,25 a 39 anos,2017,Masc,"9,7"
Ceará,40 a 59 anos,2017,Masc,"6,4"
Ceará,60 anos ou mais,2017,Masc,"4,3"
Fortaleza,15 anos ou mais,2017,Masc,"10,1"
Fortaleza,15 a 17 anos,2017,Masc,"8,7"
Fortaleza,18 a 29 anos,2017,Masc,"11,2"
Fortaleza,18 a 24 anos,2017,Masc,"11,3"
Fortaleza,25 anos ou mais,2017,Masc,10
Fortaleza,25 a 39 anos,2017,Masc,"11,2"
Fortaleza,40 a 59 anos,2017,Masc,"9,4"
Fortaleza,60 anos ou mais,2017,Masc,"8,1"
Brasil,15 anos ou mais,2017,Fem,"9,7"
Brasil,15 a 17 anos,2017,Fem,"9,3"
Brasil,18 a 29 anos,2017,Fem,"11,4"
Brasil,18 a 24 anos,2017,Fem,"11,6"
Brasil,25 anos ou mais,2017,Fem,"9,4"
Brasil,25 a 39 anos,2017,Fem,"11,5"
Brasil,40 a 59 anos,2017,Fem,"9,3"
Brasil,60 anos ou mais,2017,Fem,"6,2"
Nordeste,15 anos ou mais,2017,Fem,"8,7"
Nordeste,15 a 17 anos,2017,Fem,9
Nordeste,18 a 29 anos,2017,Fem,"10,9"
Nordeste,18 a 24 anos,2017,Fem,11
Nordeste,25 anos ou mais,2017,Fem,"8,3"
Nordeste,25 a 39 anos,2017,Fem,"10,4"
Nordeste,40 a 59 anos,2017,Fem,8
Nordeste,60 anos ou mais,2017,Fem,"4,7"
Ceará,15 anos ou mais,2017,Fem,"8,8"
Ceará,15 a 17 anos,2017,Fem,"9,5"
Ceará,18 a 29 anos,2017,Fem,"11,1"
Ceará,18 a 24 anos,2017,Fem,"11,2"
Ceará,25 anos ou mais,2017,Fem,"8,3"
Ceará,25 a 39 anos,2017,Fem,"10,7"
Ceará,40 a 59 anos,2017,Fem,"7,9"
Ceará,60 anos ou mais,2017,Fem,"4,9"
Fortaleza,15 anos ou mais,2017,Fem,"10,4"
Fortaleza,15 a 17 anos,2017,Fem,"9,6"
Fortaleza,18 a 29 anos,2017,Fem,"11,2"
Fortaleza,18 a 24 anos,2017,Fem,"11,6"
Fortaleza,25 anos ou mais,2017,Fem,"10,3"
Fortaleza,25 a 39 anos,2017,Fem,"11,8"
Fortaleza,40 a 59 anos,2017,Fem,"9,8"
Fortaleza,60 anos ou mais,2017,Fem,"8,2"
Brasil,15 anos ou mais,2018,Total,"9,7"
Brasil,15 a 17 anos,2018,Total,"9,1"
Brasil,18 a 29 anos,2018,Total,"11,2"
Brasil,18 a 24 anos,2018,Total,"11,4"
Brasil,25 anos ou mais,2018,Total,"9,4"
Brasil,25 a 39 anos,2018,Total,"11,3"
Brasil,40 a 59 anos,2018,Total,"9,2"
Brasil,60 anos ou mais,2018,Total,"6,4"
Nordeste,15 anos ou mais,2018,Total,"8,5"
Nordeste,15 a 17 anos,2018,Total,"8,7"
Nordeste,18 a 29 anos,2018,Total,"10,6"
Nordeste,18 a 24 anos,2018,Total,"10,7"
Nordeste,25 anos ou mais,2018,Total,"8,1"
Nordeste,25 a 39 anos,2018,Total,"10,2"
Nordeste,40 a 59 anos,2018,Total,"7,7"
Nordeste,60 anos ou mais,2018,Total,"4,7"
Ceará,15 anos ou mais,2018,Total,"8,8"
Ceará,15 a 17 anos,2018,Total,"9,3"
Ceará,18 a 29 anos,2018,Total,11
Ceará,18 a 24 anos,2018,Total,"11,1"
Ceará,25 anos ou mais,2018,Total,"8,2"
Ceará,25 a 39 anos,2018,Total,"10,6"
Ceará,40 a 59 anos,2018,Total,"7,7"
Ceará,60 anos ou mais,2018,Total,"4,5"
Fortaleza,15 anos ou mais,2018,Total,"10,6"
Fortaleza,15 a 17 anos,2018,Total,"9,4"
Fortaleza,18 a 29 anos,2018,Total,"11,6"
Fortaleza,18 a 24 anos,2018,Total,"11,8"
Fortaleza,25 anos ou mais,2018,Total,"10,5"
Fortaleza,25 a 39 anos,2018,Total,"11,9"
Fortaleza,40 a 59 anos,2018,Total,"10,2"
Fortaleza,60 anos ou mais,2018,Total,8
Brasil,15 anos ou mais,2018,Masc,"9,4"
Brasil,15 a 17 anos,2018,Masc,"8,8"
Brasil,18 a 29 anos,2018,Masc,"10,9"
Brasil,18 a 24 anos,2018,Masc,11
Brasil,25 anos ou mais,2018,Masc,"9,2"
Brasil,25 a 39 anos,2018,Masc,"10,9"
Brasil,40 a 59 anos,2018,Masc,"8,8"
Brasil,60 anos ou mais,2018,Masc,"6,5"
Nordeste,15 anos ou mais,2018,Masc,"8,1"
Nordeste,15 a 17 anos,2018,Masc,"8,4"
Nordeste,18 a 29 anos,2018,Masc,"10,2"
Nordeste,18 a 24 anos,2018,Masc,"10,2"
Nordeste,25 anos ou mais,2018,Masc,"7,7"
Nordeste,25 a 39 anos,2018,Masc,"9,7"
Nordeste,40 a 59 anos,2018,Masc,7
Nordeste,60 anos ou mais,2018,Masc,"4,4"
Ceará,15 anos ou mais,2018,Masc,"8,4"
Ceará,15 a 17 anos,2018,Masc,"9,2"
Ceará,18 a 29 anos,2018,Masc,"10,7"
Ceará,18 a 24 anos,2018,Masc,"10,7"
Ceará,25 anos ou mais,2018,Masc,"7,8"
Ceará,25 a 39 anos,2018,Masc,"10,1"
Ceará,40 a 59 anos,2018,Masc,"7,1"
Ceará,60 anos ou mais,2018,Masc,4
Fortaleza,15 anos ou mais,2018,Masc,"10,5"
Fortaleza,15 a 17 anos,2018,Masc,"9,2"
Fortaleza,18 a 29 anos,2018,Masc,"11,4"
Fortaleza,18 a 24 anos,2018,Masc,"11,5"
Fortaleza,25 anos ou mais,2018,Masc,"10,4"
Fortaleza,25 a 39 anos,2018,Masc,"11,7"
Fortaleza,40 a 59 anos,2018,Masc,"9,9"
Fortaleza,60 anos ou mais,2018,Masc,8
Brasil,15 anos ou mais,2018,Fem,"9,9"
Brasil,15 a 17 anos,2018,Fem,"9,4"
Brasil,18 a 29 anos,2018,Fem,"11,6"
Brasil,18 a 24 anos,2018,Fem,"11,8"
Brasil,25 anos ou mais,2018,Fem,"9,6"
Brasil,25 a 39 anos,2018,Fem,"11,6"
Brasil,40 a 59 anos,2018,Fem,"9,5"
Brasil,60 anos ou mais,2018,Fem,"6,3"
Nordeste,15 anos ou mais,2018,Fem,"8,9"
Nordeste,15 a 17 anos,2018,Fem,"9,1"
Nordeste,18 a 29 anos,2018,Fem,11
Nordeste,18 a 24 anos,2018,Fem,"11,2"
Nordeste,25 anos ou mais,2018,Fem,"8,5"
Nordeste,25 a 39 anos,2018,Fem,"10,7"
Nordeste,40 a 59 anos,2018,Fem,"8,3"
Nordeste,60 anos ou mais,2018,Fem,"4,8"
Ceará,15 anos ou mais,2018,Fem,"9,1"
Ceará,15 a 17 anos,2018,Fem,"9,5"
Ceará,18 a 29 anos,2018,Fem,"11,4"
Ceará,18 a 24 anos,2018,Fem,"11,5"
Ceará,25 anos ou mais,2018,Fem,"8,6"
Ceará,25 a 39 anos,2018,Fem,"11,1"
Ceará,40 a 59 anos,2018,Fem,"8,3"
Ceará,60 anos ou mais,2018,Fem,"4,8"
Fortaleza,15 anos ou mais,2018,Fem,"10,7"
Fortaleza,15 a 17 anos,2018,Fem,"9,5"
Fortaleza,18 a 29 anos,2018,Fem,"11,8"
Fortaleza,18 a 24 anos,2018,Fem,"12,2"
Fortaleza,25 anos ou mais,2018,Fem,"10,6"
Fortaleza,25 a 39 anos,2018,Fem,"12,2"
Fortaleza,40 a 59 anos,2018,Fem,"10,4"
Fortaleza,60 anos ou mais,2018,Fem,"7,9"
Brasil,15 anos ou mais,2019,Total,"9,8"
Brasil,15 a 17 anos,2019,Total,"9,2"
Brasil,18 a 29 anos,2019,Total,"11,4"
Brasil,18 a 24 anos,2019,Total,"11,5"
Brasil,25 anos ou mais,2019,Total,"9,6"
Brasil,25 a 39 anos,2019,Total,"11,4"
Brasil,40 a 59 anos,2019,Total,"9,4"
Brasil,60 anos ou mais,2019,Total,"6,6"
Nordeste,15 anos ou mais,2019,Total,"8,7"
Nordeste,15 a 17 anos,2019,Total,"8,8"
Nordeste,18 a 29 anos,2019,Total,"10,8"
Nordeste,18 a 24 anos,2019,Total,"10,8"
Nordeste,25 anos ou mais,2019,Total,"8,2"
Nordeste,25 a 39 anos,2019,Total,"10,4"
Nordeste,40 a 59 anos,2019,Total,"7,9"
Nordeste,60 anos ou mais,2019,Total,"4,8"
Ceará,15 anos ou mais,2019,Total,"8,8"
Ceará,15 a 17 anos,2019,Total,"9,2"
Ceará,18 a 29 anos,2019,Total,"11,2"
Ceará,18 a 24 anos,2019,Total,"11,2"
Ceará,25 anos ou mais,2019,Total,"8,3"
Ceará,25 a 39 anos,2019,Total,"10,6"
Ceará,40 a 59 anos,2019,Total,"7,9"
Ceará,60 anos ou mais,2019,Total,"4,8"
Fortaleza,15 anos ou mais,2019,Total,"10,6"
Fortaleza,15 a 17 anos,2019,Total,"9,3"
Fortaleza,18 a 29 anos,2019,Total,"11,6"
Fortaleza,18 a 24 anos,2019,Total,"11,9"
Fortaleza,25 anos ou mais,2019,Total,"10,5"
Fortaleza,25 a 39 anos,2019,Total,12
Fortaleza,40 a 59 anos,2019,Total,"10,2"
Fortaleza,60 anos ou mais,2019,Total,"8,5"
Brasil,15 anos ou mais,2019,Masc,"9,6"
Brasil,15 a 17 anos,2019,Masc,"8,9"
Brasil,18 a 29 anos,2019,Masc,"11,1"
Brasil,18 a 24 anos,2019,Masc,"11,2"
Brasil,25 anos ou mais,2019,Masc,"9,3"
Brasil,25 a 39 anos,2019,Masc,11
Brasil,40 a 59 anos,2019,Masc,9
Brasil,60 anos ou mais,2019,Masc,"6,7"
Nordeste,15 anos ou mais,2019,Masc,"8,2"
Nordeste,15 a 17 anos,2019,Masc,"8,5"
Nordeste,18 a 29 anos,2019,Masc,"10,4"
Nordeste,18 a 24 anos,2019,Masc,"10,4"
Nordeste,25 anos ou mais,2019,Masc,"7,8"
Nordeste,25 a 39 anos,2019,Masc,"9,8"
Nordeste,40 a 59 anos,2019,Masc,"7,3"
Nordeste,60 anos ou mais,2019,Masc,"4,5"
Ceará,15 anos ou mais,2019,Masc,"8,4"
Ceará,15 a 17 anos,2019,Masc,"9,1"
Ceará,18 a 29 anos,2019,Masc,"10,9"
Ceará,18 a 24 anos,2019,Masc,"10,8"
Ceará,25 anos ou mais,2019,Masc,"7,8"
Ceará,25 a 39 anos,2019,Masc,"10,1"
Ceará,40 a 59 anos,2019,Masc,"7,2"
Ceará,60 anos ou mais,2019,Masc,"4,2"
Fortaleza,15 anos ou mais,2019,Masc,"10,6"
Fortaleza,15 a 17 anos,2019,Masc,"9,2"
Fortaleza,18 a 29 anos,2019,Masc,"11,4"
Fortaleza,18 a 24 anos,2019,Masc,"11,6"
Fortaleza,25 anos ou mais,2019,Masc,"10,5"
Fortaleza,25 a 39 anos,2019,Masc,"11,7"
Fortaleza,40 a 59 anos,2019,Masc,"10,1"
Fortaleza,60 anos ou mais,2019,Masc,"8,5"
Brasil,15 anos ou mais,2019,Fem,10
Brasil,15 a 17 anos,2019,Fem,"9,4"
Brasil,18 a 29 anos,2019,Fem,"11,7"
Brasil,18 a 24 anos,2019,Fem,"11,9"
Brasil,25 anos ou mais,2019,Fem,"9,7"
Brasil,25 a 39 anos,2019,Fem,"11,8"
Brasil,40 a 59 anos,2019,Fem,"9,7"
Brasil,60 anos ou mais,2019,Fem,"6,5"
Nordeste,15 anos ou mais,2019,Fem,9
Nordeste,15 a 17 anos,2019,Fem,"9,2"
Nordeste,18 a 29 anos,2019,Fem,"11,2"
Nordeste,18 a 24 anos,2019,Fem,"11,3"
Nordeste,25 anos ou mais,2019,Fem,"8,6"
Nordeste,25 a 39 anos,2019,Fem,"10,9"
Nordeste,40 a 59 anos,2019,Fem,"8,4"
Nordeste,60 anos ou mais,2019,Fem,5
Ceará,15 anos ou mais,2019,Fem,"9,2"
Ceará,15 a 17 anos,2019,Fem,"9,4"
Ceará,18 a 29 anos,2019,Fem,"11,5"
Ceará,18 a 24 anos,2019,Fem,"11,6"
Ceará,25 anos ou mais,2019,Fem,"8,7"
Ceará,25 a 39 anos,2019,Fem,"11,1"
Ceará,40 a 59 anos,2019,Fem,"8,4"
Ceará,60 anos ou mais,2019,Fem,"5,2"
Fortaleza,15 anos ou mais,2019,Fem,"10,7"
Fortaleza,15 a 17 anos,2019,Fem,"9,4"
Fortaleza,18 a 29 anos,2019,Fem,"11,8"
Fortaleza,18 a 24 anos,2019,Fem,"12,2"
Fortaleza,25 anos ou mais,2019,Fem,"10,6"
Fortaleza,25 a 39 anos,2019,Fem,"12,3"
Fortaleza,40 a 59 anos,2019,Fem,"10,3"
Fortaleza,60 anos ou mais,2019,Fem,"8,5"
Brasil,15 anos ou mais,2022,Total,"10,1"
Brasil,15 a 17 anos,2022,Total,"9,3"
Brasil,18 a 29 anos,2022,Total,"11,6"
Brasil,18 a 24 anos,2022,Total,"11,7"
Brasil,25 anos ou mais,2022,Total,"9,9"
Brasil,25 a 39 anos,2022,Total,"11,7"
Brasil,40 a 59 anos,2022,Total,"9,8"
Brasil,60 anos ou mais,2022,Total,7
Nordeste,15 anos ou mais,2022,Total,"8,9"
Nordeste,15 a 17 anos,2022,Total,9
Nordeste,18 a 29 anos,2022,Total,"11,1"
Nordeste,18 a 24 anos,2022,Total,"11,1"
Nordeste,25 anos ou mais,2022,Total,"8,6"
Nordeste,25 a 39 anos,2022,Total,"10,8"
Nordeste,40 a 59 anos,2022,Total,"8,3"
Nordeste,60 anos ou mais,2022,Total,"5,3"
Ceará,15 anos ou mais,2022,Total,"9,1"
Ceará,15 a 17 anos,2022,Total,"9,4"
Ceará,18 a 29 anos,2022,Total,"11,5"
Ceará,18 a 24 anos,2022,Total,"11,6"
Ceará,25 anos ou mais,2022,Total,"8,6"
Ceará,25 a 39 anos,2022,Total,11
Ceará,40 a 59 anos,2022,Total,"8,2"
Ceará,60 anos ou mais,2022,Total,"5,5"
Fortaleza,15 anos ou mais,2022,Total,"10,7"
Fortaleza,15 a 17 anos,2022,Total,"9,4"
Fortaleza,18 a 29 anos,2022,Total,"11,8"
Fortaleza,18 a 24 anos,2022,Total,12
Fortaleza,25 anos ou mais,2022,Total,"10,6"
Fortaleza,25 a 39 anos,2022,Total,"12,2"
Fortaleza,40 a 59 anos,2022,Total,"10,2"
Fortaleza,60 anos ou mais,2022,Total,"8,8"
Brasil,15 anos ou mais,2022,Masc,"9,9"
Brasil,15 a 17 anos,2022,Masc,"9,1"
Brasil,18 a 29 anos,2022,Masc,"11,3"
Brasil,18 a 24 anos,2022,Masc,"11,4"
Brasil,25 anos ou mais,2022,Masc,"9,6"
Brasil,25 a 39 anos,2022,Masc,"11,3"
Brasil,40 a 59 anos,2022,Masc,"9,4"
Brasil,60 anos ou mais,2022,Masc,"7,1"
Nordeste,15 anos ou mais,2022,Masc,"8,5"
Nordeste,15 a 17 anos,2022,Masc,"8,8"
Nordeste,18 a 29 anos,2022,Masc,"10,8"
Nordeste,18 a 24 anos,2022,Masc,"10,8"
Nordeste,25 anos ou mais,2022,Masc,"8,1"
Nordeste,25 a 39 anos,2022,Masc,"10,2"
Nordeste,40 a 59 anos,2022,Masc,"7,6"
Nordeste,60 anos ou mais,2022,Masc,5
Ceará,15 anos ou mais,2022,Masc,"8,7"
Ceará,15 a 17 anos,2022,Masc,"9,2"
Ceará,18 a 29 anos,2022,Masc,"11,3"
Ceará,18 a 24 anos,2022,Masc,"11,3"
Ceará,25 anos ou mais,2022,Masc,"8,2"
Ceará,25 a 39 anos,2022,Masc,"10,6"
Ceará,40 a 59 anos,2022,Masc,"7,4"
Ceará,60 anos ou mais,2022,Masc,"5,2"
Fortaleza,15 anos ou mais,2022,Masc,"10,8"
Fortaleza,15 a 17 anos,2022,Masc,"9,4"
Fortaleza,18 a 29 anos,2022,Masc,"11,7"
Fortaleza,18 a 24 anos,2022,Masc,"11,9"
Fortaleza,25 anos ou mais,2022,Masc,"10,7"
Fortaleza,25 a 39 anos,2022,Masc,12
Fortaleza,40 a 59 anos,2022,Masc,"9,9"
Fortaleza,60 anos ou mais,2022,Masc,"9,4"
Brasil,15 anos ou mais,2022,Fem,"10,3"
Brasil,15 a 17 anos,2022,Fem,"9,5"
Brasil,18 a 29 anos,2022,Fem,"11,8"
Brasil,18 a 24 anos,2022,Fem,12
Brasil,25 anos ou mais,2022,Fem,"10,1"
Brasil,25 a 39 anos,2022,Fem,"12,1"
Brasil,40 a 59 anos,2022,Fem,"10,1"
Brasil,60 anos ou mais,2022,Fem,7
Nordeste,15 anos ou mais,2022,Fem,"9,3"
Nordeste,15 a 17 anos,2022,Fem,"9,3"
Nordeste,18 a 29 anos,2022,Fem,"11,4"
Nordeste,18 a 24 anos,2022,Fem,"11,5"
Nordeste,25 anos ou mais,2022,Fem,9
Nordeste,25 a 39 anos,2022,Fem,"11,3"
Nordeste,40 a 59 anos,2022,Fem,"8,9"
Nordeste,60 anos ou mais,2022,Fem,"5,5"
Ceará,15 anos ou mais,2022,Fem,"9,3"
Ceará,15 a 17 anos,2022,Fem,"9,6"
Ceará,18 a 29 anos,2022,Fem,"11,8"
Ceará,18 a 24 anos,2022,Fem,"11,9"
Ceará,25 anos ou mais,2022,Fem,"8,9"
Ceará,25 a 39 anos,2022,Fem,"11,5"
Ceará,40 a 59 anos,2022,Fem,"8,8"
Ceará,60 anos ou mais,2022,Fem,"5,7"
Fortaleza,15 anos ou mais,2022,Fem,"10,6"
Fortaleza,15 a 17 anos,2022,Fem,"9,4"
Fortaleza,18 a 29 anos,2022,Fem,"11,9"
Fortaleza,18 a 24 anos,2022,Fem,"12,2"
Fortaleza,25 anos ou mais,2022,Fem,"10,5"
Fortaleza,25 a 39 anos,2022,Fem,"12,3"
Fortaleza,40 a 59 anos,2022,Fem,"10,5"
Fortaleza,60 anos ou mais,2022,Fem,"8,4"