local,raca_cor,ano,genero,renda_media_mensal
Brasil,Total,2012,Total,"2.696,25"
Brasil,Total,2016,Total,"2.753,25"
Brasil,Total,2013,Total,"2.783,00"
Brasil,Total,2017,Total,"2.790,75"
Brasil,Total,2022,Total,"2.792,25"
Brasil,Total,2015,Total,"2.807,50"
Brasil,Total,2018,Total,"2.828,25"
Brasil,Total,2019,Total,"2.835,25"
Brasil,Total,2014,Total,"2.844,75"
Brasil,Total,2023,Total,"2.866,33"
Ceará,Total,2012,Total,"1.788,50"
Ceará,Total,2016,Total,"1.810,50"
Ceará,Total,2015,Total,"1.845,75"
Ceará,Total,2017,Total,"1.859,25"
Ceará,Total,2014,Total,"1.870,75"
Ceará,Total,2022,Total,"1.871,00"
Ceará,Total,2023,Total,"1.890,00"
Ceará,Total,2013,Total,"1.890,25"
Ceará,Total,2018,Total,"1.940,00"
Ceará,Total,2019,Total,"2.012,50"
Fortaleza,Total,2012,Total,"2.602,25"
Fortaleza,Total,2016,Total,"2.619,50"
Fortaleza,Total,2022,Total,"2.639,25"
Fortaleza,Total,2023,Total,"2.669,00"
Fortaleza,Total,2015,Total,"2.672,75"
Fortaleza,Total,2017,Total,"2.732,00"
Fortaleza,Total,2014,Total,"2.760,25"
Fortaleza,Total,2013,Total,"2.823,25"
Fortaleza,Total,2018,Total,"2.925,00"
Fortaleza,Total,2019,Total,"3.026,50"
Nordeste,Total,2012,Total,"1.820,75"
Nordeste,Total,2016,Total,"1.848,75"
Nordeste,Total,2022,Total,"1.877,00"
Nordeste,Total,2015,Total,"1.897,50"
Nordeste,Total,2013,Total,"1.897,75"
Nordeste,Total,2017,Total,"1.914,00"
Nordeste,Total,2023,Total,"1.930,00"
Nordeste,Total,2014,Total,"1.951,00"
Nordeste,Total,2019,Total,"1.955,25"
Nordeste,Total,2018,Total,"1.955,50"
Brasil,Total,2012,Masc,"3.023,00"
Brasil,Total,2016,Masc,"3.039,50"
Brasil,Total,2013,Masc,"3.113,50"
Brasil,Total,2017,Masc,"3.086,25"
Brasil,Total,2022,Masc,"3.077,50"
Brasil,Total,2015,Masc,"3.124,00"
Brasil,Total,2018,Masc,"3.131,50"
Brasil,Total,2019,Masc,"3.121,25"
Brasil,Total,2014,Masc,"3.185,00"
Brasil,Total,2023,Masc,"3.140,00"
Ceará,Total,2012,Masc,"1.912,50"
Ceará,Total,2016,Masc,"1.918,50"
Ceará,Total,2015,Masc,"1.968,75"
Ceará,Total,2017,Masc,"1.993,00"
Ceará,Total,2014,Masc,"2.001,50"
Ceará,Total,2022,Masc,"1.992,00"
Ceará,Total,2023,Masc,"1.993,33"
Ceará,Total,2013,Masc,"2.003,00"
Ceará,Total,2018,Masc,"2.109,75"
Ceará,Total,2019,Masc,"2.189,25"
Fortaleza,Total,2012,Masc,"2.932,00"
Fortaleza,Total,2016,Masc,"2.957,25"
Fortaleza,Total,2022,Masc,"2.945,25"
Fortaleza,Total,2023,Masc,"2.975,33"
Fortaleza,Total,2015,Masc,"3.035,00"
Fortaleza,Total,2017,Masc,"3.118,25"
Fortaleza,Total,2014,Masc,"3.145,00"
Fortaleza,Total,2013,Masc,"3.150,75"
Fortaleza,Total,2018,Masc,"3.382,50"
Fortaleza,Total,2019,Masc,"3.548,50"
Nordeste,Total,2012,Masc,"1.957,50"
Nordeste,Total,2016,Masc,"1.952,50"
Nordeste,Total,2022,Masc,"1.989,00"
Nordeste,Total,2015,Masc,"2.023,50"
Nordeste,Total,2013,Masc,"2.039,00"
Nordeste,Total,2017,Masc,"2.036,75"
Nordeste,Total,2023,Masc,"2.023,00"
Nordeste,Total,2014,Masc,"2.097,00"
Nordeste,Total,2019,Masc,"2.092,25"
Nordeste,Total,2018,Masc,"2.082,75"
Brasil,Total,2012,Fem,"2.225,25"
Brasil,Total,2016,Fem,"2.351,50"
Brasil,Total,2013,Fem,"2.308,00"
Brasil,Total,2017,Fem,"2.382,25"
Brasil,Total,2022,Fem,"2.405,50"
Brasil,Total,2015,Fem,"2.361,75"
Brasil,Total,2018,Fem,"2.414,00"
Brasil,Total,2019,Fem,"2.447,00"
Brasil,Total,2014,Fem,"2.360,75"
Brasil,Total,2023,Fem,"2.497,33"
Ceará,Total,2012,Fem,"1.599,75"
Ceará,Total,2016,Fem,"1.650,75"
Ceará,Total,2015,Fem,"1.665,50"
Ceará,Total,2017,Fem,"1.665,75"
Ceará,Total,2014,Fem,"1.676,25"
Ceará,Total,2022,Fem,"1.702,50"
Ceará,Total,2023,Fem,"1.740,67"
Ceará,Total,2013,Fem,"1.721,50"
Ceará,Total,2018,Fem,"1.698,00"
Ceará,Total,2019,Fem,"1.767,25"
Fortaleza,Total,2012,Fem,"2.203,50"
Fortaleza,Total,2016,Fem,"2.211,50"
Fortaleza,Total,2022,Fem,"2.268,75"
Fortaleza,Total,2023,Fem,"2.288,33"
Fortaleza,Total,2015,Fem,"2.248,50"
Fortaleza,Total,2017,Fem,"2.265,75"
Fortaleza,Total,2014,Fem,"2.293,00"
Fortaleza,Total,2013,Fem,"2.422,75"
Fortaleza,Total,2018,Fem,"2.355,00"
Fortaleza,Total,2019,Fem,"2.418,75"
Nordeste,Total,2012,Fem,"1.607,25"
Nordeste,Total,2016,Fem,"1.691,75"
Nordeste,Total,2022,Fem,"1.713,00"
Nordeste,Total,2015,Fem,"1.707,50"
Nordeste,Total,2013,Fem,"1.677,50"
Nordeste,Total,2017,Fem,"1.732,25"
Nordeste,Total,2023,Fem,"1.794,00"
Nordeste,Total,2014,Fem,"1.728,25"
Nordeste,Total,2019,Fem,"1.757,50"
Nordeste,Total,2018,Fem,"1.770,25"